Price,Details,Address,features,Area,Bedrooms,House_type
8000,1 BHK Apartment,"Seven Hills , Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1000.0,1,Apartment
17000,2 BHK Independent House,"JAYBHARATHI GARDENS, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Independent
22000,3 BHK Apartment,"Rishikalyan Residency, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
25000,2 BHK Apartment,"Emami Swanlake by Emami Realty, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1151.0,2,Apartment
25000,2 BHK Apartment,"kalyan heights apartment, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1150.0,2,Apartment
9000,1 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,450.0,1,Apartment
35000,2 BHK Apartment,"Incor OneCity by Incor Infrastructure Pvt. Ltd., Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1366.0,2,Apartment
15000,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,800.0,2,Apartment
14000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1200.0,2,Independent
15000,2 BHK Apartment,"srivenkateshwara nivas, Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1250.0,2,Apartment
15000,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1100.0,2,Apartment
40000,3 BHK Apartment,"tower c indis, Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1740.0,3,Apartment
120000,3 BHK Villa,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,3900.0,3,Villa
22500,2 BHK Apartment,"NSK Exotica by NSK Constructions, Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1090.0,2,Apartment
20000,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1000.0,2,Apartment
50000,3 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1465.0,3,Apartment
48000,3 BHK Apartment,"india one city, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1735.0,3,Apartment
18000,3 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1400.0,3,Apartment
9500,1 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,500.0,1,Apartment
20000,3 BHK Independent House,"Laxmi Vijay Nilaya, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Independent
11000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,650.0,2,Independent
28000,3 BHK Villa,"Vivekanand Colony, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1800.0,3,Villa
16000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,500.0,2,Independent
8500,1 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,600.0,1,Apartment
20000,3 BHK Independent Floor,"garadadhri towers, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,2000.0,3,Independent
23000,3 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1700.0,3,Independent
30000,3 BHK Independent Floor,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1700.0,3,Independent
18000,2 BHK Apartment,"saujanya sree nilayan, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
22000,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1250.0,2,Apartment
15000,2 BHK Apartment,"HARLEN COLONY, Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1600.0,2,Apartment
20000,3 BHK Apartment,"sri bala ji residency, Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1720.0,3,Apartment
9000,1 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,900.0,1,Apartment
9000,3 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1400.0,3,Independent
50000,3 BHK Apartment,"logha meridian tower a , Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1854.0,3,Apartment
